Rainbow,Rainbow coordinates,Rent a center ,Rent a center coordinates,Cricket ,Cricket Coordinates,Total wireless,Total wireless coordinates,Metro PCs ,Metro PCs coordinates,BOOST ,Boost cooridnates,
,,,,,,"55-17 Myrtle AveRidgewood, NY 11385","40.700041, -73.907905","5524 Myrtle Ave, RIDGEWOOD, NY 11385",,,,
,,,,,,,,"683 Seneca Ave, RIDGEWOOD, NY 11385",,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"88-03 Rockaway Beach Blvd, Rockaway Beach, NY 11693, United States","40.586889005295774,-73.81298635053206",,,,,,,,,,,
,,,,,,,,,,,,
"365 Rockaway Turnpike, Lawrence, NY 11559, United States","40.627849,-73.737393",,,,,,,,,,,
,,"31-39 Steinway St Ste Inway St, Queens, NY 11103, United States","40.760220, -73.917641",  ,,,,,,,,
,,"11211 Liberty Ave, South Richmond Hill, NY 11419, United States","40.685452, -73.829987",  ,,,,,,,,
,,"1045 Beach 20th St, Far Rockaway, NY 11691, United States","40.603575, -73.753155",  ,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
BRONX,,,,,,,,,,,,
"380 5th Ave, New York, NY 10018, United States","40.749490,-73.984078",,,,,,,,,,,
"603 8th Ave, New York, NY 10018, United States","40.755421,-73.991193",,,,,,,,,,,
"1958 3rd Ave, New York, NY 10029, United States","40.792717,-73.944249",,,,,,,,,,,
"308 W 125th St, New York, NY 10027, United States","40.810288,-73.951837",,,,,,,,,,,
,,,,,,,,,,,,
"610 W 181st St, New York, NY 10033, United States","40.849456,-73.934361","558 W 181st St, New York, NY 10033, United States","40.848833, -73.933268",  ,,"542 W 181 StNew York, NY 10033","40.848754, -73.932705","1407 Saint Nicholas Ave, New York, NY 10033",,"4236 Broadway, New York, NY 10033",,
,,,,,,"1275 St Nicholas AveNew York, NY 10033","40.844702, -73.937373","1466 Saint Nicholas Ave, New York, NY 10033",,"1491 Saint Nicholas Ave, New York, NY 10033",,
,,,,,,,,"1323 Saint Nicholas Ave, New York, NY 10033",,  ,,
,,,,,,,,,,,,
"571 E 138th St, Bronx, NY 10454, United States","40.806830,-73.917069",,,,,,,,,,,
"161 Dyckman St, New York, NY 10040, United States","40.863947, -73.925828",,,,,,,,,,,
,,,,,,,,,,,,
"2962 Third Ave, Bronx, NY 10455, United States","40.818233,-73.914572","2758 Third Ave, Bronx, NY 10455, United States","40.814641, -73.920029","399 E 149th St Ste 3 Bronx, NY 10455","40.816297, -73.917864","769 East 149th St Bronx, NY 10455","40.813082, -73.907537","2901 Third Ave, BRONX, NY 10455",,"2893 3rd Ave, Bronx, NY 10455",,
,,,,,,"825 Westchester Ave Bronx, NY 10455","40.819441, -73.902426","2823 3RD AVE, BRONX, NY 10455",,"508a Willis Ave, Bronx, NY 10455",,
,,,,,,"2935 3rd Ave Bronx, NY 10455","40.817810, -73.915756",,,"454b E 149th Street, Bronx, NY 10455",,
,,,,,,,,,,"3023 3rd Ave, Bronx, NY 10455",,
,,,,,,,,,,"824 E 149th St, Bronx, NY 10455",,
,,,,,,,,,,,,
"805 E Tremont Ave, Bronx, NY 10460, United States","40.843810,-73.887603",,,,,,,,,,,
"226 E Fordham Rd, Bronx, NY 10458, United States","40.862179, -73.896297",,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
"2155 White Plains Rd, Bronx, NY 10462, United States","40.855105,-73.867887","2026 Westchester Ave STE 3, Bronx, NY 10462, United States","40.833317, -73.856461", ,,"2143 Whiteplains Rd Bronx, NY 10462","40.854627, -73.867902","2368 Westchester Ave, BRONX, NY 10462",,"1261 Castle Hill Ave, Bronx, NY 10462",,
,,,,,,,,"1937 Westchester Ave, BRONX, NY 10462",,"715 Lydig Ave, Bronx, NY 10462",,
,,,,,,,,"723 Morris Park Ave, BRONX, NY 10462",,,,
,,,,,,,,"2185 White Plains Rd, BRONX, NY 10462",,,,
,,,,,,,,,,,,
"48 E 167th St, Bronx, NY 10452, United States","40.835358,-73.920944",,,,,,,,,,,
,,,,,,,,,,,,
"4391 White Plains Rd, Bronx, NY 10466, United States","40.898190,-73.854778","4036 White Plains Rd, Bronx, NY 10466, United States","40.889641, -73.859085", ,,"3996 White Plains Rd Bronx, NY 10466","40.888313, -73.859833","3971 White Plains Rd, BRONX, NY 10466",,,,
,,,,,,"4369 White Plains Rd Bronx, NY 10466","40.897639, -73.855236","4236 White Plains Rd, The Bronx, NY 10466",,,,
,,,,,,,,"4365 White Plains Rd, BRONX, NY 10466",,,,
,,,,,,,,"1207 E 233rd St, BRONX, NY 10466",,,,
,,,,,,,,,,,,
