Rainbow,"lat,long",Rent a center ,Cricket ,Total wireless,Metro PCs ,BOOST ,
"2155 White Plains Rd, Bronx, NY 10462, United States","40.855105,-73.867887","2026 Westchester Ave STE 3, Bronx, NY 10462, United States", ,"2143 Whiteplains Rd Bronx, NY 10462","2368 Westchester Ave, BRONX, NY 10462","1261 Castle Hill Ave, Bronx, NY 10462",
,,,,,"1937 Westchester Ave, BRONX, NY 10462","715 Lydig Ave, Bronx, NY 10462",
,,,,,"723 Morris Park Ave, BRONX, NY 10462",,
,,,,,"2185 White Plains Rd, BRONX, NY 10462",,
,,,,,,,
"48 E 167th St, Bronx, NY 10452, United States","40.835358,-73.920944",,,,,,
,,,,,,,
"4391 White Plains Rd, Bronx, NY 10466, United States","40.898190,-73.854778","4036 White Plains Rd, Bronx, NY 10466, United States", ,"3996 White Plains Rd Bronx, NY 10466","3971 White Plains Rd, BRONX, NY 10466",,
,,,,"4369 White Plains Rd Bronx, NY 10466","4236 White Plains Rd, The Bronx, NY 10466",,
,,,,,"4365 White Plains Rd, BRONX, NY 10466",,
,,,,,"1207 E 233rd St, BRONX, NY 10466",,
,,,,,,,
"953 Southern Blvd, Bronx, NY 10459, United States","40.821583, -73.891867","936 Southern Blvd, Bronx, NY 10459, United States","945 Southern Blvd Bronx, NY 10459","966 Southern Blvd Bronx, NY 10459","1032 Westchester Ave, BRONX, NY 10459","1047 Westchester Ave, Bronx, NY 10459",
,,,,,"999 Southern Blvd, BRONX, NY 10459","1047 East 163rd Street, Bronx, NY 10459",
,,,,,"1190 Prospect Ave, BRONX, NY 10459",,
,,,,,"1250 Southern Blvd, BRONX, NY 10459",,
,,,,,,,
"17 E Burnside Ave, Bronx, NY 10453, United States","40.853679, -73.906618",,,,,,
"200 E 161st St, Bronx, NY 10451, United States","40.825317, -73.920410",,,,,,
"571 E 138th St, Bronx, NY 10454, United States","40.806830, -73.917069",,,,,,
"961 E 174th St, Bronx, NY 10460, United States","40.836750, -73.885340",,,,,,
"3981 White Plains Rd, Bronx, NY 10466, United States","40.888119, -73.860687",,,,,,
"1546 Westchester Ave, Bronx, NY 10472, United States","40.828573,  -73.877928",,,,,,
"1780 E Gun Hill Rd, Bronx, NY 10469, United States","40.863291, -73.834376",,,,,,
"814 Pelham Pkwy, Pelham, NY 10803, United States","40.893192, -73.820356",,,,,,
,,"645 E Tremont Ave Unit-D, Bronx, NY 10457, United States", ,,,,
,,"140 E Fordham Rd, Bronx, NY 10468, United States", ,,,,
,,,,,,,
,,,,,,,
Brooklyn ,,,,,,,
"493 Fulton St, Brooklyn, NY 11201, United States","40.691030,-73.985563",,,,,,
,,,,,,,
"990 Pennsylvania Ave, Brooklyn, NY 11207, United States","40.654908,-73.888047","864 Pennsylvania Ave, Brooklyn, NY 11207, United States","2942 Fulton St. Brooklyn, NY 11207","11112 Flatlands Ave, Brooklyn, NY 11207","635 Sutter Ave, BROOKLYN, NY 11207","933 Pennsylvania Ave # B, Brooklyn, NY 11207",  
,,,,"1707 Broadway, Brooklyn, NY 11207","2948 Fulton Ave, BROOKLYN, NY 11207",,
,,,,,"1611 Broadway, BROOKLYN, NY 11207",  ,
,,,,,"825 VAN SICLEN AVE, BROOKLYN, NY 11207",,
,,,,,"1110 Pennsylvania Ave, BROOKLYN, NY 11207",  ,
,,,,,,,
